Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
XGBoost,0.7174609368648683,0.15456974284760103,0.5593152064451158,0.24220487549605338,0.7015564236364374
Random Forest,0.7204689202152741,0.1462299635437764,0.5089627391742195,0.22718691000629326,0.6797967213061026
Logistic Regression,0.6086857551664147,0.11975475754439048,0.605840886203424,0.19998005518066683,0.6449022459633509
